Date,Startup,Industry Vertical,SubVertical,City,Investors Name,InvestmentnType,CR,Year,Month
2015-08-17,Fixy,On demand cleaning & fixing services,,Mumbai,venturenursery,Seed Funding,0.0,2015.0,August
2015-08-17,MSM Box,Beauty & Lifestyle platform,,New Delhi,rohit goel,Seed Funding,0.0,2015.0,August
2015-08-17,ShadowFax,on-demand delivery service,,Gurgaon,"kunal bahl, rohit bansal, zishaan hayath, prashant malik",Seed Funding,2.5575,2015.0,August
2015-08-17,Gadgets 360,Car & Bike ecommerce platform,,New Delhi,one97 communications,Private Equity,0.0,2015.0,August
2015-08-18,Roposo,Fashion Discovery platform,,Gurgaon,tiger global,Private Equity,123.75,2015.0,August
2015-08-18,IntelligenceNODE,Data Analytics Platform,,Mumbai,"new enterprise associates, orios venture partners",Private Equity,34.65,2015.0,August
2015-08-18,HyperVerge,Deep Learning Cloud Algorithms,,Chennai,"nea, milliways ventures, naya ventures",Seed Funding,8.25,2015.0,August
2015-08-18,Twyst,Location based engagement & rewards platform,,Gurgaon,"rohit bhatia, sunil nikhar, vaibhav domkundwar, siddharth nautiyal",Seed Funding,0.0,2015.0,August
2015-08-18,IDfy,Online Identity Verification Services platform,,Mumbai,"nea, blume ventures & others",Private Equity,0.0,2015.0,August
2015-08-18,Zoojoo.be,Corporate Wellness App,,Bangalore,roundglass partners,Private Equity,8.25,2015.0,August
2015-08-19,Fashionove,Fashion Search & Review Platform,,Kolkata,umesh yadav,Seed Funding,0.0,2015.0,August
2015-08-19,TimeSaverz,"Hyperlocal Maintenance, Repair & Cleaning services",,Mumbai,unilazer ventures,Private Equity,19.8,2015.0,August
2015-08-19,Envoged,pre-owned Luxury online apparel seller,,Mumbai,"manish dhingra, ankush nijhawa, gaurav bhatnagar",Seed Funding,0.0,2015.0,August
2015-08-19,MebelKart,Online Furniture Marketplace,,Bangalore,askme,Private Equity,165.0,2015.0,August
2015-08-20,LabsAdvisor,Online Diagnostic Tests Marketplace,,New Delhi,group of angel investors,Seed Funding,1.287,2015.0,August
2015-08-20,Flatpebble,Online marketplace for Photographers,,Hyderabad,indian angel network,Seed Funding,4.95,2015.0,August
2015-08-20,Bluegape.com,Visual Blogging platform,,New Delhi,"ah! ventures, times internet, rudy gopalakrishnan",Seed Funding,4.95,2015.0,August
2015-08-21,ePoise,Job Search Platform,,Bangalore,"orios venture partners, amit ranjan & others",Seed Funding,4.125,2015.0,August
2015-08-24,Jolly Food Fellow,Food Customer analytics platform,,Ahmedabad,the 1947,Seed Funding,2.475,2015.0,August
2015-08-24,BookMeIn,Professional Service Appointment booking service,,Mumbai,ajmera group of companies,Seed Funding,3.3,2015.0,August
2015-08-24,iZofy,Scientific Horoscope Online Assistance platform,,Kolkata,prime capital markets ltd,Seed Funding,0.0,2015.0,August
2015-08-24,rBus,Tech enabled AC bus service,,Mumbai,"india quotient, anupam mittal & others",Seed Funding,0.0,2015.0,August
2015-08-25,Qyk App,On-Demand App based Professional service provider,,Bangalore,"growx ventures, tracxn labs, powai lake ventures, and sahil barua",Private Equity,8.25,2015.0,August
2015-08-25,EazyDiner,Restaurant Reservation Platform,,Gurgaon,"dsg consumer partners, saama capital",Private Equity,24.75,2015.0,August
2015-08-25,RevX,Cross-channel CRM platform,,Mumbai,"norwest venture partners, nexus venture partners, helion venture partners, draper fisher jurvetson, peepul capital",Private Equity,33.0,2015.0,August
2015-08-25,ICustomMadeIt,Professional Custom creators Marketplace,,Pune,group of angel investors,Seed Funding,2.0625,2015.0,August
2015-08-26,PickMyLaundry,on-Demand Washing & Dry-Cleaning,,New Delhi,ghv accelerator,Seed Funding,0.825,2015.0,August
2015-08-26,Belita,On-Demand Beauty Service,,Mumbai,"india quotient, letsventure investors, lead angels",Seed Funding,3.3,2015.0,August
2015-08-26,EzySolare,solar products and services marketplace,,Ahmedabad,infuse ventures,Seed Funding,0.0,2015.0,August
2015-08-26,FoodTalkIndia,Online Food Community Platform,,Gurgaon,undisclosed investor,Seed Funding,4.125,2015.0,August
2015-08-27,InstaSafe,Private Cloud Networks SAAS platform,,Bangalore,group of investors,Seed Funding,0.0,2015.0,August
2015-08-27,Eazy Coach,Education Marketplace,,Kolkata,ravi agarwal,Seed Funding,0.0,2015.0,August
2015-08-27,Djubo.com,Cloud Based Hotel Sales Platform,,New Delhi,ibibo group,Private Equity,0.0,2015.0,August
2015-08-28,BetterButter.in,online recipe sharing platform,,New Delhi,"growx ventures, manish singhal",Seed Funding,0.0,2015.0,August
2015-08-28,Vyomo,Beauty & Lifestyle Mobile Marketplace,,Bangalore,rocket internet,Private Equity,16.5,2015.0,August
2015-08-28,RollMafia,QSR Restaurant Chain,,Pune,equentia natural resources,Seed Funding,1.32,2015.0,August
2015-08-29,iamwire,Digital Media publishing platform,,Gurgaon,"li tao, li jian, draphant consultants, nitin garg, saurabh jain, mohit agarwal",Seed Funding,0.0,2015.0,August
2015-08-31,DropKaffe,Online Coffee Delivery platform,,Bangalore,"manish singhal, p39 capital & others",Seed Funding,2.475,2015.0,August
2015-08-31,Reverie,Language Localization Cloud platform,,Bangalore,"aspada investment advisors, qualcomm ventures",Private Equity,33.0,2015.0,August
2015-08-31,Infinite Analytics,Big Data & predictive Analysis Platform,,Mumbai,"ratan tata, nikhil vora & others",Private Equity,0.0,2015.0,August
2015-01-07,Parcelled,Online Logistics Platform,,Bangalore,"delhivery, tracxn labs",Seed Funding,0.0,2015.0,January
2015-01-07,Retigence Technologies,Business IT Intelligence Services,,Mumbai,omnivore partners,Private Equity,0.0,2015.0,January
2015-01-07,Cloudcherry Analytics,CRM / Analytics platform,,Chennai,"the chennai angels, idg ventures india",Seed Funding,8.25,2015.0,January
,HandyHome,Hyperlocal Electronics repair Service,,Mumbai,"bessemer ventures, kae capital",Seed Funding,5.1975,,
2015-01-07,iDreamCareer,Ed-Tech Platform,,New Delhi,"ah! ventures, vivek joshi, mohit satyanand & others",Seed Funding,0.0,2015.0,January
2015-01-07,Ola Cabs,Cab rental Mobile app,,Bangalore,ratan tata,Private Equity,0.0,2015.0,January
2015-01-07,NxtGen,IT infrastructure & Data Center services,,Bangalore,"ifc, axon partners, intel capital",Private Equity,111.375,2015.0,January
2015-02-07,BankBazaar,Online Financial Services,,Chennai,"amazon, fidelity growth partners, mousse partners",Private Equity,495.0,2015.0,February
2015-02-07,Gozoomo,Used Car Marketplace,,Bangalore,saif partners,Private Equity,41.25,2015.0,February
2015-02-07,Zenatix,Internet of Things platform,,Gurgaon,"rajan anandan, kunal bahl, rohit bansal, rahul khanna",Seed Funding,1.32825,2015.0,February
2015-03-07,CultureAlley,Language Learning App,,Jaipur,tiger global,Private Equity,53.625,2015.0,March
2015-03-07,Goqii,Mobile Fitness Marketplace,,Mumbai,vijay shekhar sharma,Private Equity,0.0,2015.0,March
2015-03-07,Gingercrush,Custom Merchandize platform,,Ahmedabad,"gokul jaykrishna, brand capital",Seed Funding,8.25,2015.0,March
2015-04-07,Elanic,P2P Pre-owned goods marketplace,,Bangalore,"rebright partners, tracxn labs, aneesh reddy",Seed Funding,0.0,2015.0,April
2015-04-07,Stitchwood,Custom Furniture Marketplace,,Mumbai,"powai lake ventures, ajeet khurana & others",Seed Funding,3.25875,2015.0,April
2015-05-07,Urban Tailor,Online Tailoring Services,,Bangalore,group of angel investors,Seed Funding,0.0,2015.0,May
2015-06-07,ConfirmtTkt,Rail Ticket Confirmation predictor,,Bangalore,pravin agarwala & others,Seed Funding,0.0,2015.0,June
2015-06-07,Paper Boat,Ethnic Beverages manufacturer,,Gurgaon,"sofina, hillhouse capital",Private Equity,247.5,2015.0,June
2015-06-07,getNow,Hyperlocal Goods marketplace,,Nagpur,atulya mittal,Seed Funding,0.0,2015.0,June
2015-07-07,Wudstay,Budget Accommodation aggregator,,Gurgaon,"mangroves capital partners, vikas saxena",Private Equity,24.75,2015.0,July
2015-07-07,Liases Foras,Real Estate Rating & Analysis,,New Delhi,dmg information asia pacific,Private Equity,41.25,2015.0,July
2015-07-07,Eatlo,Food Delivery platform,,Bangalore,"powai lake ventures, globeinvestor, abhishekh goyal",Seed Funding,0.0,2015.0,July
2015-07-07,IndiaLends,Financial Tech,,New Delhi,"dsg consumer partners, siddharth parekh",Private Equity,0.0,2015.0,July
